0;0;0;0;land;false;unknown;0
1;253;177;155;land;false;Mygeeto;1
2;137;147;235;land;false;plains;1
3;220;171;138;land;false;bespinsurface;1
4;162;247;201;land;false;urban;1
5;124;232;226;land;false;urban;1
6;191;133;243;land;true;jungle;1
7;168;243;181;land;false;forest;1
8;156;212;238;land;false;Mygeeto;1
9;79;242;206;land;false;jungle;1
10;211;182;232;land;false;oceanplanet;1
11;250;173;179;land;false;forest;1
12;234;244;227;land;true;plains;1
13;74;214;220;land;false;Sullust;1
14;101;238;240;land;false;plains;1
15;187;206;152;land;true;mountain;1
16;238;230;232;land;true;Umbara;1
17;236;114;215;land;false;plains;1
18;227;136;230;land;false;plains;1
19;232;159;237;land;false;urban;1
20;151;137;240;land;false;desert;1
21;188;202;138;land;false;Mustafar;1
22;196;227;79;land;true;desert;1
23;228;124;248;land;false;jungle;1
24;243;251;64;land;false;desert;1
25;209;206;147;land;true;marsh;1
26;124;229;208;land;false;urban;1
27;75;247;208;land;true;plains;1
28;241;137;194;land;false;Gungan;1
29;250;3;248;land;false;bespinsurface;1
30;153;248;130;land;false;forest;1
31;216;172;254;land;false;urban;1
32;250;82;245;land;false;mountain;1
33;247;248;159;land;false;forest;1
34;213;251;198;land;true;marsh;1
35;87;214;231;land;false;desert;1
36;249;92;177;land;true;urban;1
37;245;65;219;land;true;jungle;1
38;218;101;183;land;false;desert;1
39;241;254;249;land;false;Christophsis;1
40;250;216;119;land;false;snowmountain;1
41;242;180;221;land;false;plains;1
42;105;234;221;land;false;plains;1
43;130;228;171;land;false;marsh;1
44;228;200;175;land;false;urban;1
45;223;104;249;land;false;jungle;1
46;218;231;156;land;false;mountain;1
47;136;238;251;land;false;jungle;1
48;186;243;160;land;false;plains;1
49;252;130;174;land;false;urban;1
50;227;165;198;land;true;plains;1
51;180;212;163;land;false;snowmountain;1
52;207;165;156;land;false;forest;1
53;230;171;166;land;true;forest;1
54;200;152;188;land;false;plains;1
55;151;243;248;land;false;snowmountain;1
56;124;193;191;land;false;jungle;1
57;252;201;220;land;false;plains;1
58;208;185;170;land;false;jungle;1
59;204;234;161;land;false;desert;1
60;214;239;110;land;true;plains;1
61;251;49;212;land;false;mountain;1
62;187;241;95;land;false;forest;1
63;161;218;144;land;false;forest;1
64;235;152;245;land;true;plains;1
65;150;179;188;land;false;urban;1
66;143;249;178;land;true;mountain;1
67;45;250;239;land;false;desert;1
68;239;54;251;land;false;plains;1
69;229;210;79;land;false;desert;1
70;154;141;247;land;false;Sullust;1
71;237;205;187;land;true;forest;1
72;254;192;232;land;false;plains;1
73;237;210;174;land;false;plains;1
74;127;254;214;land;false;desert;1
75;190;191;128;land;false;forest;1
76;144;184;201;land;false;plains;1
77;90;212;222;land;true;jungle;1
78;225;181;250;land;false;marsh;1
