262;2216.00;16.90;3799.00;big
262;2161.00;18.60;3789.00;big
263;2227.00;17.68;3726.00;big
263;2145.00;17.08;3723.00;big
264;2624.00;18.18;3617.00;big
264;2623.00;18.05;3678.00;big
265;2539.00;16.35;3627.00;big
265;2566.00;16.63;3702.00;big
266;2960.00;19.15;3606.00;big
266;2920.00;17.95;3554.00;big
267;2992.00;18.77;3516.00;big
267;3014.00;18.52;3589.00;big
268;2167.00;18.33;3468.00;big
268;2225.00;17.20;3437.00;big
269;2195.00;16.98;3492.00;big
269;2228.00;16.80;3503.00;big
270;2268.00;18.02;3520.00;big
270;2193.00;21.77;3546.00;big
271;1927.00;17.58;3427.00;big
271;1998.00;20.60;3416.00;big
272;2006.00;15.90;3345.00;big
272;1931.00;19.55;3363.00;big
273;2377.00;19.80;3299.00;big
273;2325.00;16.52;3327.00;big
274;2400.00;17.40;3250.00;big
274;2316.00;15.68;3244.00;big
275;2629.00;20.50;3267.00;big
275;2624.00;20.50;3302.00;big
276;2682.00;17.83;3253.00;big
276;2595.00;16.02;3236.00;big
277;2594.00;16.98;3325.00;big
277;2671.00;16.58;3325.00;big
278;3155.00;16.35;3003.00;big
278;3210.00;18.20;2985.00;big
279;3159.00;17.50;2925.00;big
279;3236.00;16.90;2930.00;big
280;2163.00;18.20;2841.00;big
280;2713.00;18.50;3059.00;big
281;2178.00;18.10;2752.00;big
281;2717.00;19.10;2994.00;big
282;2255.00;18.05;3108.00;big
282;2194.00;20.70;3086.00;big
283;2204.00;15.85;3016.00;big
283;2273.00;17.52;3048.00;big
284;1885.00;18.00;2966.00;big
284;1825.00;18.60;2943.00;big
285;1822.00;17.55;2889.00;big
285;1897.00;17.95;2894.00;big
286;2867.00;13.93;2851.00;big
286;2939.00;16.80;2855.00;big
287;2953.00;23.00;2790.00;big
287;2879.00;19.80;2784.00;big
288;2303.00;15.03;2722.00;big
288;2323.00;15.70;2759.00;big
289;1454.00;17.20;2830.00;big
289;1518.00;17.30;2836.00;big
290;1456.00;16.83;2748.00;big
290;1532.00;17.83;2770.00;big
291;1166.00;20.50;2780.00;big
291;1229.00;17.83;2799.00;big
292;1238.00;19.20;2725.00;big
292;1165.00;18.65;2713.00;big
293;903.00;17.05;2823.00;big
293;836.00;21.08;2796.00;big
294;911.00;17.38;2748.00;big
294;828.00;16.20;2735.00;big
295;894.00;16.10;2626.00;big
295;906.00;14.43;2557.00;big
296;945.00;19.40;2588.00;big
296;945.00;18.35;2652.00;big
297;991.00;16.83;2565.00;big
297;1004.00;15.38;2637.00;big
298;582.00;14.75;2596.00;big
298;617.00;18.35;2535.00;big
299;649.00;19.80;2586.00;big
299;629.00;14.60;2639.00;big
300;680.00;15.85;2532.00;big
300;697.00;14.60;2605.00;big
301;460.00;18.10;2495.00;big
301;408.00;17.68;2492.00;big
302;480.00;17.33;2420.00;big
302;395.00;17.38;2427.00;big
303;1028.00;15.68;2450.00;big
303;946.00;17.18;2452.00;big
304;1007.00;19.10;2404.00;big
304;955.00;17.48;2372.00;big
305;1356.00;15.95;2381.00;big
305;1275.00;15.57;2378.00;big
306;1273.00;17.83;2451.00;big
306;1340.00;19.00;2447.00;big
310;1629.00;16.83;2404.00;big
310;1684.00;19.00;2391.00;big
311;1708.00;17.02;2327.00;big
311;1622.00;17.68;2329.00;big
312;3070.00;12.75;2582.00;big
312;3156.00;16.58;2585.00;big
313;3170.00;16.55;2509.00;big
313;3088.00;17.08;2503.00;big
314;3108.00;20.10;2557.00;big
314;3144.00;19.40;2540.00;big
315;2783.00;17.83;2461.00;big
315;2839.00;23.83;2461.00;big
316;2860.00;19.95;2406.00;big
316;2782.00;22.73;2392.00;big
317;2570.00;18.33;2289.00;big
317;2615.00;19.80;2316.00;big
318;2666.00;15.50;2281.00;big
318;2611.00;17.00;2248.00;big
319;2599.00;15.75;2362.00;big
319;2659.00;15.32;2341.00;big
320;2553.00;13.32;2337.00;big
320;2534.00;9.50;2295.00;big
322;1144.00;15.75;2237.00;big
322;1165.00;19.60;2283.00;big
323;1223.00;15.48;2257.00;big
323;1217.00;16.55;2325.00;big
324;1152.00;15.40;2346.00;big
324;1105.00;12.85;2303.00;big
325;1365.00;14.60;2202.00;big
325;1441.00;13.90;2225.00;big
326;1371.00;17.65;2137.00;big
326;1462.00;17.52;2136.00;big
